image_name,cluster_label
0_2000.jpg,Character_262
10000_2004.jpg,Character_26
10001_2004.jpg,Character_803
10002_2004.jpg,Character_243
10003_2004.jpg,Character_477
10004_2004.jpg,Character_652
10005_2004.jpg,Character_113
10006_2004.jpg,Character_649
10007_2004.jpg,Character_191
10008_2004.jpg,Character_979
10009_2004.jpg,Character_97
1000_2000.jpg,Character_422
10010_2004.jpg,Character_753
10011_2004.jpg,Character_151
10012_2004.jpg,Character_799
10013_2004.jpg,Character_847
10014_2004.jpg,Character_275
10015_2004.jpg,Character_578
10016_2004.jpg,Character_473
10017_2004.jpg,Character_263
10018_2004.jpg,Character_281
10019_2004.jpg,Character_807
1001_2000.jpg,Character_87
10020_2004.jpg,Character_34
10021_2004.jpg,Character_609
10022_2004.jpg,Character_805
10023_2004.jpg,Character_465
10024_2004.jpg,Character_24
10025_2004.jpg,Character_104
10026_2004.jpg,Character_569
10027_2004.jpg,Character_226
10028_2004.jpg,Character_540
10029_2004.jpg,Character_594
1002_2000.jpg,Character_283
10030_2004.jpg,Character_911
10031_2004.jpg,Character_62
10032_2004.jpg,Character_455
10033_2004.jpg,Character_232
10034_2004.jpg,Character_427
10035_2004.jpg,Character_133
10036_2004.jpg,Character_284
10037_2004.jpg,Character_609
10038_2004.jpg,Character_444
10039_2004.jpg,Character_284
1003_2000.jpg,Character_188
10040_2004.jpg,Character_248
10041_2004.jpg,Character_512
10042_2004.jpg,Character_861
10043_2004.jpg,Character_168
10044_2004.jpg,Character_336
10045_2004.jpg,Character_478
10046_2004.jpg,Character_986
10047_2004.jpg,Character_602
10048_2004.jpg,Character_617
10049_2004.jpg,Character_949
1004_2000.jpg,Character_56
10050_2004.jpg,Character_166
10051_2004.jpg,Character_898
10052_2004.jpg,Character_605
10053_2004.jpg,Character_27
10054_2004.jpg,Character_344
10055_2004.jpg,Character_5
10056_2004.jpg,Character_602
10057_2004.jpg,Character_994
10058_2004.jpg,Character_335
10059_2004.jpg,Character_706
1005_2000.jpg,Character_386
10060_2004.jpg,Character_884
10061_2004.jpg,Character_226
10062_2004.jpg,Character_202
10063_2004.jpg,Character_876
10064_2004.jpg,Character_159
10065_2004.jpg,Character_869
10066_2004.jpg,Character_718
10067_2004.jpg,Character_453
10068_2004.jpg,Character_521
10069_2004.jpg,Character_166
1006_2000.jpg,Character_96
10070_2004.jpg,Character_616
10071_2004.jpg,Character_164
10072_2004.jpg,Character_826
10073_2004.jpg,Character_169
10074_2004.jpg,Character_609
10075_2004.jpg,Character_159
10076_2004.jpg,Character_191
10077_2004.jpg,Character_708
10078_2004.jpg,Character_649
10079_2004.jpg,Character_637
1007_2000.jpg,Character_96
10080_2004.jpg,Character_620
10081_2004.jpg,Character_335
10082_2004.jpg,Character_751
10083_2004.jpg,Character_477
10084_2004.jpg,Character_450
10085_2004.jpg,Character_581
10086_2004.jpg,Character_936
10087_2004.jpg,Character_262
10088_2004.jpg,Character_731
10089_2004.jpg,Character_325
1008_2000.jpg,Character_636
10090_2004.jpg,Character_336
10091_2004.jpg,Character_653
10092_2004.jpg,Character_54
10093_2004.jpg,Character_446
10094_2004.jpg,Character_461
10095_2004.jpg,Character_235
10096_2004.jpg,Character_828
10097_2004.jpg,Character_275
10098_2004.jpg,Character_243
10099_2004.jpg,Character_649
1009_2000.jpg,Character_337
100_2000.jpg,Character_413
10100_2004.jpg,Character_942
10101_2004.jpg,Character_855
10102_2004.jpg,Character_539
10103_2004.jpg,Character_635
10104_2004.jpg,Character_235
10105_2004.jpg,Character_877
10106_2004.jpg,Character_744
10107_2004.jpg,Character_427
10108_2004.jpg,Character_677
10109_2004.jpg,Character_618
1010_2000.jpg,Character_556
10110_2004.jpg,Character_563
10111_2004.jpg,Character_223
10112_2004.jpg,Character_512
10113_2004.jpg,Character_968
10114_2004.jpg,Character_70
10115_2004.jpg,Character_567
10116_2004.jpg,Character_407
10117_2004.jpg,Character_263
10118_2004.jpg,Character_600
10119_2004.jpg,Character_955
1011_2000.jpg,Character_158
10120_2004.jpg,Character_830
10121_2004.jpg,Character_469
10122_2004.jpg,Character_145
10123_2004.jpg,Character_156
10124_2004.jpg,Character_950
10125_2004.jpg,Character_720
10126_2004.jpg,Character_521
10127_2004.jpg,Character_225
10128_2004.jpg,Character_301
10129_2004.jpg,Character_13
1012_2000.jpg,Character_569
10130_2004.jpg,Character_346
10131_2004.jpg,Character_720
10132_2004.jpg,Character_589
